name_fielder,position,start_dist_st_R,start_ang_st_R,start_dist_sh_R,start_ang_sh_R,start_dist_st_L,start_ang_st_L,start_dist_sh_L,start_ang_sh_L
pariskyren,CF,328.0,2.0,323.3076923076923,0.5865384615384616,321.196875,-2.0776041666666667,323.5921052631579,-1.361842105263158
pariskyren,SS,147.5,-18.5,147.2686274509804,-20.26078431372549,151.0,-6.0,151.5,-5.5
pasquantinovinnie,1B,114.5,28.5,108.5,24.0,124.0,38.5,125.0,39.5
pauleygraham,3B,126.0,-37.0,121.58928571428572,-37.36607142857143,120.0,-27.0,135.0,-23.0
pedersonjoc,LF,302.0,-27.0,302.5125,-26.669444444444444,285.0,-29.0,292.0,-29.0
pedersonjoc,RF,289.0,28.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
pegueroliover,2B,154.0,4.0,154.0,3.0,150.0,16.0,150.0,16.0
pegueroliover,SS,150.5,-16.5,150.0,-16.0,153.5,-7.5,154.0,-3.0
peraltadavid,LF,304.5,-26.5,308.0,-26.0,287.5,-29.0,291.5,-28.0
peraltadavid,RF,289.0,28.0,302.0,26.0,302.0,26.0,301.5,26.0
perazaoswald,2B,154.0,5.0,153.72596153846155,3.121794871794872,150.0,17.0,150.0,19.0
perazaoswald,3B,125.5,-37.0,121.58928571428572,-37.36607142857143,112.5,-26.5,132.5,-21.0
perazaoswald,SS,150.0,-18.0,147.2686274509804,-20.26078431372549,154.0,-6.0,155.0,-3.0
perdomogeraldo,2B,152.0,7.0,154.0,3.0,148.0,18.0,147.0,21.0
perdomogeraldo,3B,116.0,-36.0,121.58928571428572,-37.36607142857143,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
perdomogeraldo,SS,147.5,-18.0,145.0,-22.0,151.5,-8.0,153.0,-4.0
pereiraeverson,LF,298.0,-26.0,302.5125,-26.669444444444444,291.0,-28.0,291.0,-27.0
perezsalvador,1B,112.5,28.0,111.71960784313724,28.4078431372549,121.5,39.0,122.5,39.5
perkinsblake,CF,322.0,0.5,319.0,0.0,320.0,-0.5,324.0,0.0
perkinsblake,LF,297.0,-26.0,302.5125,-26.669444444444444,292.0,-27.0,294.0,-27.0
perkinsblake,RF,294.0,27.0,292.3405172413793,27.46120689655172,295.0,26.0,297.0,27.0
petersonjace,2B,152.33333333333334,9.0,153.72596153846155,3.121794871794872,147.0,21.0,145.0,24.0
petersonjace,3B,120.0,-36.0,121.0,-37.0,117.33333333333331,-27.0,129.5,-22.5
petersonjace,SS,147.0,-18.0,147.2686274509804,-20.26078431372549,151.0,-9.0,153.35215053763443,-3.888440860215054
penajeremy,SS,148.5,-16.5,148.0,-18.5,152.5,-6.0,153.5,-4.0
phamtommy,CF,322.5,2.0,330.0,2.0,321.0,-1.5,326.0,-0.5
phamtommy,LF,298.6,-27.0,300.5,-27.5,289.4,-29.6,293.2,-29.4
phamtommy,RF,292.5,28.0,293.0,30.0,299.3333333333333,26.666666666666668,300.75,26.75
phillipsbrett,CF,323.0,2.0,323.3076923076923,0.5865384615384616,322.0,-4.0,324.0,-3.0
phillipsbrett,RF,292.0,28.0,292.3405172413793,27.46120689655172,299.0,25.0,297.0,27.0
pillarkevin,CF,321.6666666666667,2.6666666666666665,324.0,0.0,320.5,-1.0,326.0,-0.5
pillarkevin,LF,306.5,-25.0,306.0,-25.5,293.0,-28.5,292.5,-28.0
pillarkevin,RF,293.3333333333333,28.33333333333333,292.5,28.0,305.6666666666667,26.666666666666668,307.5,26.5
polancojorge,2B,153.5,6.0,154.0,4.5,148.0,19.5,148.0,20.5
polancojorge,3B,122.0,-37.0,120.0,-39.0,119.0,-26.0,137.0,-22.0
pollockaj,LF,301.5,-23.0,301.0,-24.0,287.5,-30.0,289.0,-29.0
prattonick,1B,115.0,26.0,112.0,24.0,126.0,38.0,127.0,39.0
prattonick,LF,307.0,-28.0,310.0,-28.0,282.0,-29.0,286.0,-29.0
prattonick,RF,280.0,27.0,292.3405172413793,27.46120689655172,300.0,26.0,302.0,28.0
profarjurickson,1B,107.5,31.5,111.71960784313724,28.4078431372549,120.5,38.5,118.0,38.0
profarjurickson,LF,300.6666666666667,-25.33333333333333,303.0,-27.0,290.3333333333333,-29.33333333333333,295.3333333333333,-28.33333333333333
profarjurickson,RF,299.0,27.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
perezcarlos,1B,115.0,32.0,111.71960784313724,28.4078431372549,121.0,41.0,121.0,41.0
perezwenceel,CF,326.0,1.0,325.0,-1.0,324.0,-5.0,326.0,-3.0
perezwenceel,LF,303.0,-25.0,302.5125,-26.669444444444444,284.0,-29.0,283.0,-30.0
perezwenceel,RF,293.0,27.0,295.0,25.0,304.0,23.0,304.0,24.0
querecutojuniel,2B,151.0,6.0,153.72596153846155,3.121794871794872,148.19832402234636,18.90875232774674,147.67110453648917,20.243096646942803
querecutojuniel,3B,125.0,-37.0,125.0,-37.0,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
rafaelaceddanne,2B,152.5,8.0,153.72596153846155,3.121794871794872,148.19832402234636,18.90875232774674,147.67110453648917,20.243096646942803
rafaelaceddanne,CF,321.0,1.5,321.0,2.0,319.5,0.5,320.5,0.0
rafaelaceddanne,SS,149.5,-18.0,147.0,-21.0,153.0,-5.0,153.5,-5.0
raleyluke,1B,113.0,29.0,110.5,28.5,123.5,37.0,124.5,37.5
raleyluke,CF,320.0,1.5,325.0,1.0,317.0,-1.0,319.5,-1.0
raleyluke,LF,303.5,-25.5,301.5,-26.5,288.0,-28.0,290.5,-27.5
raleyluke,RF,290.0,27.5,288.0,27.0,301.5,25.5,302.5,26.5
ramosbryan,3B,119.0,-34.0,121.58928571428572,-37.36607142857143,116.0,-27.0,127.0,-22.0
ramosheliot,CF,324.0,2.0,320.0,1.0,320.0,-2.0,326.0,-1.5
ramosheliot,LF,305.0,-25.5,302.5125,-26.669444444444444,284.0,-30.5,291.5,-29.5
ramosheliot,RF,287.0,28.5,292.3405172413793,27.46120689655172,300.0,26.0,299.5,27.5
ramoshenry,LF,307.0,-25.0,302.5125,-26.669444444444444,290.0,-31.0,292.11885521885523,-28.30252525252525
ramoshenry,RF,288.0,30.0,293.0,28.0,306.0,22.0,307.0,23.0
ramirezharold,1B,107.0,33.0,111.71960784313724,28.4078431372549,117.0,40.0,120.0,42.0
ramirezharold,LF,309.0,-26.0,311.0,-27.0,292.0,-28.0,295.5,-27.5
ramirezharold,RF,296.5,27.0,292.3405172413793,27.46120689655172,305.0,27.0,307.0,27.5
